Unique_ID,State_UT,District,Disease_Illness,Cases,Deaths,Outbreak_Start_Date,Reporting_Date,Current_Status,Comments_Action_Taken
MG/EAS/2025/19/810,Meghalaya,East Jaintia Hills,Food Poisoning,6,5,2025-05-05,2025-05-05,Under Control,"Cases were reported from Village Umshong, Sub-District Khliehriat, District East Jaintia Hills. Cases presented with vomiting and diarrhea after consumption of wild mushroom on 29th April, 2025. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation. Unfortunately, five individuals succumbed."
MG/NOR/2025/19/811,Meghalaya,North Garo Hills,Human Rabies,1,1,2025-05-07,2025-05-07,Under Surveillance,"Case was reported from Village Sakware Songgital, Sub-District Kharkutta, District North Garo Hills. A 46-year-old female presented with complaints of headache, aerophobia and hydrophobia. District RRT investigated the outbreak. History of dog bite by her pet dog in February 2025. She did not receive ARV. She expired on 02-05-2025 at Adokgre PHC. Community awareness and health education given by peripheral team on vaccination for dog bite, hygiene and sanitation."
OR/BAR/2025/19/812,Odisha,Bargarh,Acute Diarrheal Disease,27,0,2025-05-09,2025-05-09,Under Control,"Cases were reported from Village Lergaon, Sub-District Paikamal, District Bargarh. Cases presented with loose stools, pain abdomen and vomiting. 4 rectal swabs and 2 water samples were collected and sent to DPHL Bargarh. Rectal swabs did not show growth of any pathogenic organism and both water samples found unfit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
OR/CUT/2025/19/813,Odisha,Cuttack,Suspected Food Poisoning,25,0,2025-05-05,2025-05-06,Under Control,"Cases were reported from Village Sundargram, Sub-District Olatapur, District Cuttack. Cases presented with loose stools pain abdomen and vomiting. 4 rectal swabs and 2 water samples were collected and sent to DPHL Cuttack. Rectal swabs did not show growth of any pathogenic organism, water samples found unfit for potable purpose. District RRT investigated the outbreak. All the cases developed the symptoms after having food in their mess. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation"
OR/PUR/2025/19/814,Odisha,Puri,Acute Diarrheal Disease,15,0,2025-05-07,2025-05-07,Under Control,"Cases were reported from Village Kasipur and Bamanal, Sub-District Nimapada, District Puri. Cases presented with loose stools and vomiting. 2 rectal swabs and 2 water samples were collected and sent to DPHL Puri. Stool samples did not show growth of any pathogenic organism and water sample found unfit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
TN/NAM/2025/19/815,Tamil Nadu,Namakkal,Acute Diarrheal Disease,13,0,2025-05-06,2025-05-07,Under Surveillance,"Cases were reported from village Sengadu block Kollihills, District Namakkal. Cases presented with loose motion. 1 stool sample and 1 water sample were collected and sent to DPHL Namakkal. Stool samples did not show growth of any pathogenic organism and the water sample found unfit for potable purpose. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
TN/TIR/2025/19/816,Tamil Nadu,Tiruvanna malai,Chickenpox,15,0,2025-05-08,2025-05-08,Under Surveillance,"Cases were reported from Village Meyyur, Block Kattampoondi, District Tiruvanamalai. Cases presented with fever with maculo- papular rash. 3 blood samples were collected and sent to King Institute Chennai. All the samples found positive for the Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was 6-15years. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
TN/VIL/2025/19/817,Tamil Nadu,Villupuram,Mumps,7,0,2025-05-05,2025-05-07,Under Surveillance,"Cases were reported from Thiruvalluvar Street, Annai Indra Street, Arignar Anna Street, Ambedkar Street, Mariyamman Kovil Street Vazhudhareddy Block Koliyanur, District Villupuram. Cases presented with swelling and pain in parotid gland with mild fever. 7 blood samples were collected and sent to SRL-Government Villupuram Medical College Hospital. 6 samples found positive for Mumps IgM by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Age group of the affected cases were 1-15 years. Community awareness and health education given by peripheral team on, hygiene and sanitation."
UP/GAU/2025/19/818,Uttar Pradesh,Gautam Buddha Nagar,Acute Diarrheal Disease,10,0,2025-05-06,2025-05-08,Under Control,"Cases were reported from Astha Green Society, Sector- 4, Greater Noida West, District Gautam Buddha Nagar. Cases presented with loose stools, vomiting and pain abdomen. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation"
WB/PUR/2025/19/819,West Bengal,Purba Bardhaman,Acute Diarrheal Disease,27,0,2025-05-08,2025-05-08,Under Surveillance,"Cases were reported from Village Kadipur, Sub-District Kalna - I, District Purba Bardhaman. Cases presented with vomiting and loose stools. 1 stool sample was collected and sent to the district lab. It did not show growth of any pathogenic organism. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
