Region,State,Date,Maximum_Demand_MW,Peak_Shortage_MW
WR,Maharashtra,2026-04-04,27759,0
WR,Goa,2026-04-04,804,0
WR,DNHDDPDCL,2026-04-04,1265,0
WR,AMNSIL,2026-04-04,851,0
WR,BALCO,2026-04-04,709,0
WR,RIL Jamnagar,2026-04-04,265,0
SR,Andhra Pradesh,2026-04-04,13568,0
SR,Telangana,2026-04-04,16481,0
SR,Karnataka,2026-04-04,16745,0
SR,Kerala,2026-04-04,5323,0
SR,Tamil Nadu,2026-04-04,19556,0
SR,Pondy,2026-04-04,490,0
ER,Bihar,2026-04-04,7324,0
ER,DVC,2026-04-04,3296,0
ER,Jharkhand,2026-04-04,2367,0
ER,Odisha,2026-04-04,7025,0
ER,West Bengal,2026-04-04,11844,0
ER,Sikkim,2026-04-04,101,0
ER,Railways_ER ISTS,2026-04-04,12,0
NER,Arunachal Pradesh,2026-04-04,177,0
NER,Assam,2026-04-04,1863,0
NER,Manipur,2026-04-04,252,0
NER,Meghalaya,2026-04-04,369,0
NER,Mizoram,2026-04-04,151,0
NER,Nagaland,2026-04-04,164,0
NER,Tripura,2026-04-04,323,0
NR,Punjab,2026-04-05,6607,0
NR,Haryana,2026-04-05,7166,0
NR,Rajasthan,2026-04-05,10966,0
NR,Delhi,2026-04-05,3961,0
NR,UP,2026-04-05,19252,0
NR,Uttarakhand,2026-04-05,2064,0
NR,HP,2026-04-05,1645,0
NR,J&K,2026-04-05,2665,0
NR,Chandigarh,2026-04-05,190,0
NR,Railways_NR ISTS,2026-04-05,207,0
WR,Chhattisgarh,2026-04-05,6566,0
WR,Gujarat,2026-04-05,20338,0
WR,MP,2026-04-05,12477,0
WR,Maharashtra,2026-04-05,26150,0
WR,Goa,2026-04-05,731,0
WR,DNHDDPDCL,2026-04-05,1194,0
WR,AMNSIL,2026-04-05,915,0
WR,BALCO,2026-04-05,1203,0
WR,RIL Jamnagar,2026-04-05,266,0
SR,Andhra Pradesh,2026-04-05,13273,0
SR,Telangana,2026-04-05,16290,0
SR,Karnataka,2026-04-05,15408,0
SR,Kerala,2026-04-05,5368,0
SR,Tamil Nadu,2026-04-05,17680,0
SR,Pondy,2026-04-05,484,0
ER,Bihar,2026-04-05,7316,0
ER,DVC,2026-04-05,3169,0
ER,Jharkhand,2026-04-05,2206,0
ER,Odisha,2026-04-05,6743,0
ER,West Bengal,2026-04-05,11692,0
ER,Sikkim,2026-04-05,95,0
ER,Railways_ER ISTS,2026-04-05,15,0
NER,Arunachal Pradesh,2026-04-05,173,0
NER,Assam,2026-04-05,1736,0
NER,Manipur,2026-04-05,218,0
NER,Meghalaya,2026-04-05,316,0
NER,Mizoram,2026-04-05,114,0
NER,Nagaland,2026-04-05,156,0
NER,Tripura,2026-04-05,269,0
